Cl. Ord. ID,Instrument,Side,Quantity,Price
aa17,Tulip,1,100,55.00
aa18,Tulip,1,100,65.00
aa13,Rose,1,100,55.00
aa14,Rose,1,100,65.00
aa13,Orchid,1,100,55.00
aa14,Orchid,1,100,65.00
aa15,Rose,2,300,1.00
aa16,Rose,1,100,2.00
aa19,Tulip,2,300,1.00
aa20,Tulip,1,100,2.00
aa13,Lavender,1,100,55.00
aa14,Lavender,1,100,65.00
aa15,Lavender,2,300,1.00
aa13,Lotus,1,100,55.00
aa16,Lavender,1,100,2.00
aa15,Orchid,2,300,1.00
aa16,Orchid,1,100,2.00
aa14,Lotus,1,100,65.00
aa15,Lotus,2,300,1.00
aa16,Lotus,1,100,2.00